No,Well_Job_ID,API Number,Operator,Contractor,DSRE,DSR,TMLDR,Discard Ratio,TLML,Down_Loss,Evap_Loss,Total_SCE,Total_Dil,ROP,Temp,Well_Name,Well_Coord_Lon,Well_Coord_Lat,flowline_Shakers,DOW,IntLength,AMW,Drilling_Hours,Haul_OFF,Base_Oil,Water,Weight_Material,Chemicals,Reserve_Adds,TD_Date,Hole_Size,Dilution_Ratio,Dil_Per_Hole_Vol_Ratio,Solids_Generated,Average_LGS%,IsReviewed,Basin,DI Basin,AAPG Geologic Province,MD Depth,County Code,State Code
1360,1646,3.00E+13,Matador Resources,Patterson 256,0.791771219,789.9643873,1,1.875377705,2005.9,0,0,1481.4816,2005.9,50.63679245,119.7,Leatherneck 3029 Fed Com 207H,-104.121833,32.540986,Derrick Hyperpool,10,10735,9.65,212,2271.445987,1213.8,20,93.3,372,306.8,21-08-2021,8.75,1.146892408,2.026728851,838.3459873,0.0933,1,,DELAWARE,PERMIAN BASIN,23970,15,30
1361,1649,3.00E+13,Matador Resources,Patterson 256,0.645439663,337.4982145,1,2.520916448,1212.1,0,0,850.8048,1212.1,42.76415094,115,Leatherneck 3029 Fed Com 208H,-104.121834,32.540903,Derrick Hyperpool,6,4533,9.7,106,1188.303014,788.2,30,81.6,205.5,106.8,10/9/2021 0:00,8.75,1.299122901,3.122289796,354.0030145,0.090166667,1,,DELAWARE,PERMIAN BASIN,9255,15,30
1362,1262,3.00E+13,Matador Resources,Patterson 256,0.783219932,530.3984813,1,2.53282965,1862.1,0,0,1343.409,1862.1,53.89463319,109.5833333,Ace Stern Vegas Fee 22 21 #137H,-104.100154,32.374414,Brandt King Cobra,12,10946,10.75,203.1,1873.807481,1307.6,170.5,118.2,71.8,194,15-09-2020,6.75,1.241691845,3.279094689,508.7074813,0.11425,1,,DELAWARE,PERMIAN BASIN,21707,15,30
1363,1264,3.00E+13,Matador Resources,Patterson 256,0.785502226,515.470585,1,1.261794599,1773.5,0,0,650.418,1773.5,67.04234122,119.7777778,Ace Stern Vegas Fee 22 21 #204H,-104.100057,32.374496,Brandt King Cobra,9,10767,11.075,160.6,1165.888585,632.5,251,90.4,58.6,741,18-08-2020,6.75,1.587440692,2.06339639,500.388585,0.108,1,,DELAWARE,PERMIAN BASIN,21315,15,30
1364,1268,3.00E+13,Matador Resources,Patterson 256,0.657361454,411.0790382,1,1.792657692,1141.6,0,0,736.924,1141.6,53.75453133,101.9,Rodney Robinson Federal Com 204H,-103.603425,32.31351,Brandt King Cobra,11,10380,11.925,193.1,1148.003038,463.7,85,135.7,56.2,401,23-12-2020,6.75,1.004988303,1.535230795,482.4030382,0.112,1,,DELAWARE,PERMIAN BASIN,22640,25,30
1365,1263,3.00E+13,Matador Resources,Patterson 256,0.6564393,425.1828709,1.020059483,3.177413984,1675.2,0,27.1,1350.982,1675.2,68.87532134,116.1818182,Ace Stern Vegas Fee 22 21 #203H,-104.100154,32.374496,Brandt King Cobra,11,10717,11.075,155.6,1776.164871,768,313.4,96.2,64.6,433,1/9/2020 0:00,6.75,0.919479312,2.494052628,498.0648709,0.127090909,1,,DELAWARE,PERMIAN BASIN,21584,15,30
1366,1946,3.00E+13,Oxy,H&P 479,0.767747116,421.3335247,1,1.081461154,840.32,0,0,455.65584,840.32,97.29087049,87.775,Top Spot 21H,-103.733423,32.386046,Brandt King Cobra,8,11456,9.25,117.75,876.9893647,496.47,0,36.59,104.44,202.82,16-03-2023,6.75,1.399082255,1.197386902,532.4093647,0.043375,1,PERMIAN BASIN,DELAWARE,PERMIAN BASIN,21154,15,30
1367,1947,3.00E+13,Oxy,H&P 479,0.874829462,516.9966214,1.135995802,2.443770999,1929.51,171.82,0,1263.42135,1929.51,76.44897959,93.77777778,Top Spot 11H,-103.73352,32.386046,Brandt King Cobra,9,11238,9.225,147,1780.417971,555.04,183,29.57,121.9,1040,28-03-2023,6.75,0.704048574,1.703135205,522.2779714,0.044222222,1,PERMIAN BASIN,DELAWARE,PERMIAN BASIN,19977,15,30
1368,2524,3.00E+13,Oxy,Patterson 882,0.803188874,472.6048367,2.208153271,1.139586412,2012.71,650.68,0,538.57405,2012.71,74.21443021,114.4,IRIDIUM MDP1 28_21 FED COM 46H,-103.779373,32.270022,Derrick Hyperpool,13,11006,10.7,148.3,1011.178887,625.1,50,206.75,82.67,1048.19,18-04-2024,6.75,1.790877225,1.885341971,511.5888867,0.081692308,1,,DELAWARE,PERMIAN BASIN,22776,15,30
1369,2524,3.00E+13,Oxy,Patterson 882,0.948780326,286.2195021,1,4.767684346,865.34,0,0,1364.60424,865.34,57.42738589,100,IRIDIUM MDP1 28_21 FED COM 46H,-103.779373,32.270022,Derrick Hyperpool,4,2768,10.7,48.2,1650.823742,428.91,385.99,33.08,17.36,0,11/3/2024 0:00,9.88,0.634132575,3.139797716,275.6037421,0.028,1,,DELAWARE,PERMIAN BASIN,22776,15,30
1370,632,3.00E+13,Cimarex Corporate,H&P 382,0.809967285,187.7180942,1,2.869749996,532.4,0,0,538.704,532.4,55.28967254,115,Cascade 28 Fed 85H,-103.573181,32.107722,Derrick 806,5,4390,12.775,79.4,726.4220942,238.2,135.3,50.1,51.8,57,28-11-2019,6.75,0.882488342,2.330139792,204.0220942,0.026,1,,DELAWARE,PERMIAN BASIN,18164,25,30
1371,619,3.00E+13,Cimarex Corporate,H&P 382,0.808688912,175.4072667,1,2.457486557,460.6,0,0,431.061,460.6,41.29353234,116,Cascade 28 Fed 86H,-103.573246,32.107722,Derrick 806,5,4150,12.7,100.5,606.4682667,215,103,87.7,54.9,0,19-11-2019,6.75,1.068526264,2.388158549,192.8682667,0.0348,1,,DELAWARE,PERMIAN BASIN,21157,25,30
1372,969,3.00E+13,XTO Energy,Akita 90,0.887791802,747.6765427,1.149640679,1.456881335,1598.9,120.2,42.8,1089.276,1598.9,57.92661619,116.8181818,BEU 29W Vader 100H,-103.7786361,32.56679504,Derrick Dual Pool,11,9946,10,171.7,1836.952543,612.2,281,26,142.7,537,2/5/2020 0:00,8.5,0.97486771,1.448600118,733.0525427,0.053545455,1,,DELAWARE,PERMIAN BASIN,21537,25,30
1373,969,3.00E+13,XTO Energy,Akita 90,0.747153058,139.7105942,1,2.725634389,691.1,0,0,380.8,691.1,19.16552668,116,BEU 29W Vader 100H,-103.7786361,32.56679504,Derrick Dual Pool,5,1401,10,73.1,520.5105942,219.5,37.4,7,36.2,391,20-04-2020,8.75,0.788077731,2.742878807,109.4105942,0.049,1,,DELAWARE,PERMIAN BASIN,21537,25,30
1374,874,3.00E+13,XTO Energy,Akita 90,0.823589318,540.459436,1,2.37518103,1769.5,0,0,1283.689,1769.5,60.0620155,114.6,BEU 29W Vader 101H,-103.7785387,32.5667978,Derrick Dual Pool,10,7748,9.95,129,1824.148436,872.5,434,7,130,326,27-03-2020,8.5,1.124493549,2.516349578,573.648436,0.0551,1,,DELAWARE,PERMIAN BASIN,19711,25,30
1375,874,3.00E+13,XTO Energy,Akita 90,0.821051201,265.2891808,1,2.311213741,476.7,0,0,613.14,476.7,41.02173913,122.8,BEU 29W Vader 101H,-103.7785387,32.5667978,Derrick Dual Pool,5,3774,9.95,92,878.4291808,172.3,48,64,60.4,132,16-03-2020,8.75,0.562188081,1.169548258,294.7291808,0.0324,1,,DELAWARE,PERMIAN BASIN,19711,25,30
1376,749,3.00E+13,XTO Energy,Precision 595,0.820091956,689.9696324,1.035678207,1.421788661,1783,0,35,980.991,1783,51.69457128,116.9090909,Big Eddy Unit 29W Vader 104H,-103.7786351,32.56617648,Brandt King Cobra,12,10189,9.575,197.1,1670.960632,988,383,9,97,306,15-02-2020,8.5,1.505620337,1.966814153,750.9606324,0.071666667,1,,DELAWARE,PERMIAN BASIN,20138,25,30
1377,749,3.00E+13,XTO Energy,Precision 595,0.394672473,52.06896934,1.146985165,3.397198029,799,0,26,176.8886,799,14.96610169,117.6666667,Big Eddy Unit 29W Vader 104H,-103.7786351,32.56617648,Brandt King Cobra,4,883,9.575,59,228.9575693,195,66,0,0,538,3/2/2020 0:00,8.75,1.475504922,3.784936194,68.95756934,0.059125,1,,DELAWARE,PERMIAN BASIN,20138,25,30
1378,908,3.00E+13,XTO Energy,Precision 595,0.861972858,723.3203016,1.14527213,1.798659041,2179,0,189,1301.0066,2179,41.7147708,111.4285714,Big Eddy Unit 29W Vader 105H,-103.77848,32.566198,Brandt King Cobra,17,9828,9.325,235.6,2024.326902,1159,427,75,60,458,24-03-2020,8.5,1.322821883,2.33410716,737.3269016,0.058894118,1,,DELAWARE,PERMIAN BASIN,20623,25,30
